cohort_month,channel,device,visitors,signups,trials_started,purchases,revenue_usd,signup_rate_pct,trial_to_purchase_pct,avg_order_value_usd
2025-01,Paid Search,desktop,18500,1110,510,171,13851,6.0,33.53,81.0
2025-01,Paid Search,mobile,19400,1008,463,141,9729,5.2,30.45,69.0
2025-01,Organic Search,desktop,21200,1399,608,193,17177,6.6,31.74,89.0
2025-01,Organic Search,mobile,22100,1281,557,160,12320,5.8,28.73,77.0
2025-01,Email,desktop,23900,1720,765,229,22213,7.2,29.93,97.0
2025-01,Email,mobile,24800,1587,706,190,16150,6.4,26.91,85.0
2025-01,Social,desktop,26600,2074,798,225,23625,7.8,28.2,105.0
2025-01,Social,mobile,27500,1925,741,186,17298,7.0,25.1,93.0
2025-01,Affiliate,desktop,29300,2461,885,233,26329,8.4,26.33,113.0
2025-01,Affiliate,mobile,30200,2295,826,193,19493,7.6,23.37,101.0
2025-02,Paid Search,desktop,18980,1157,532,178,14418,6.1,33.46,81.0
2025-02,Paid Search,mobile,19880,1053,484,148,10212,5.3,30.58,69.0
2025-02,Organic Search,desktop,21680,1452,631,200,17800,6.7,31.7,89.0
2025-02,Organic Search,mobile,22580,1332,579,166,12782,5.9,28.67,77.0
2025-02,Email,desktop,24380,1779,791,237,22989,7.3,29.96,97.0
2025-02,Email,mobile,25280,1643,731,197,16745,6.5,26.95,85.0
2025-02,Social,desktop,27080,2139,823,232,24360,7.9,28.19,105.0
2025-02,Social,mobile,27980,1986,764,192,17856,7.1,25.13,93.0
2025-02,Affiliate,desktop,29780,2531,911,240,27120,8.5,26.34,113.0
2025-02,Affiliate,mobile,30680,2362,850,198,19998,7.7,23.29,101.0
2025-03,Paid Search,desktop,19460,1206,554,186,15066,6.2,33.57,81.0
2025-03,Paid Search,mobile,20360,1099,505,154,10626,5.4,30.5,69.0
2025-03,Organic Search,desktop,22160,1506,655,208,18512,6.8,31.76,89.0
2025-03,Organic Search,mobile,23060,1383,601,173,13321,6.0,28.79,77.0
2025-03,Email,desktop,24860,1839,818,245,23765,7.4,29.95,97.0
2025-03,Email,mobile,25760,1700,756,204,17340,6.6,26.98,85.0
2025-03,Social,desktop,27560,2204,848,239,25095,8.0,28.18,105.0
2025-03,Social,mobile,28460,2049,788,198,18414,7.2,25.13,93.0
2025-03,Affiliate,desktop,30260,2602,936,247,27911,8.6,26.39,113.0
2025-03,Affiliate,mobile,31160,2430,874,204,20604,7.8,23.34,101.0
2025-04,Paid Search,desktop,19940,1256,577,193,15633,6.3,33.45,81.0
2025-04,Paid Search,mobile,20840,1146,527,161,11109,5.5,30.55,69.0
2025-04,Organic Search,desktop,22640,1562,679,215,19135,6.9,31.66,89.0
2025-04,Organic Search,mobile,23540,1435,624,179,13783,6.1,28.69,77.0
2025-04,Email,desktop,25340,1900,845,253,24541,7.5,29.94,97.0
2025-04,Email,mobile,26240,1758,782,211,17935,6.7,26.98,85.0
2025-04,Social,desktop,28040,2271,874,246,25830,8.1,28.15,105.0
2025-04,Social,mobile,28940,2112,813,204,18972,7.3,25.09,93.0
2025-04,Affiliate,desktop,30740,2674,962,253,28589,8.7,26.3,113.0
2025-04,Affiliate,mobile,31640,2499,899,210,21210,7.9,23.36,101.0
2025-05,Paid Search,desktop,20420,1306,600,201,16281,6.4,33.5,81.0
2025-05,Paid Search,mobile,21320,1193,548,167,11523,5.6,30.47,69.0
