month,city,country,climate_zone,latitude,longitude,avg_temp_c,pm25_ug_m3,no2_ppb,ozone_ppb,respiratory_visits
2025-01-01,Los Angeles,USA,coastal,34.05,-118.24,18.0,9.0,19.0,28.0,47
2025-01-01,Chicago,USA,inland,41.88,-87.63,18.9,13.5,17.1,29.2,53
2025-01-01,Mexico City,Mexico,highland,19.43,-99.13,19.7,18.0,19.2,30.4,62
2025-01-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,20.6,22.5,21.3,31.6,70
2025-01-01,London,UK,temperate,51.51,-0.13,21.4,27.0,23.4,32.8,79
2025-01-01,Cairo,Egypt,desert,30.04,31.24,22.2,39.5,25.5,34.0,101
2025-01-01,Delhi,India,monsoon,28.61,77.21,23.1,54.0,31.6,35.2,128
2025-01-01,Tokyo,Japan,humid,35.68,139.69,23.9,40.5,33.7,36.4,107
2025-02-01,Los Angeles,USA,coastal,34.05,-118.24,21.5,9.0,19.0,33.5,47
2025-02-01,Chicago,USA,inland,41.88,-87.63,22.4,13.5,17.1,34.7,53
2025-02-01,Mexico City,Mexico,highland,19.43,-99.13,23.2,18.0,19.2,35.9,62
2025-02-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,18.1,22.5,21.3,37.1,70
2025-02-01,London,UK,temperate,51.51,-0.13,24.9,27.0,23.4,38.3,79
2025-02-01,Cairo,Egypt,desert,30.04,31.24,25.8,39.5,25.5,39.5,101
2025-02-01,Delhi,India,monsoon,28.61,77.21,26.6,54.0,31.6,40.7,128
2025-02-01,Tokyo,Japan,humid,35.68,139.69,27.4,40.5,33.7,41.9,107
2025-03-01,Los Angeles,USA,coastal,34.05,-118.24,24.1,9.0,19.0,37.5,47
2025-03-01,Chicago,USA,inland,41.88,-87.63,24.9,13.5,17.1,38.7,53
2025-03-01,Mexico City,Mexico,highland,19.43,-99.13,25.8,18.0,19.2,39.9,62
2025-03-01,Sao Paulo,Brazil,subtropical,-23.55,-46.63,16.2,22.5,21.3,41.1,70
2025-03-01,London,UK,temperate,51.51,-0.13,27.5,27.0,23.4,42.3,79
