year,region,solar_twh,wind_twh,hydro_twh,battery_storage_gwh,electricity_demand_twh,grid_emissions_mtco2,renewable_share_pct
2016,North America,32.0,62.0,110.0,4.0,420.0,354.4,48.6
2016,Europe,43.5,67.2,133.0,5.5,516.0,417.3,47.2
2016,Asia Pacific,52.7,70.3,151.5,7.0,612.0,480.2,44.9
2016,Latin America,59.4,75.0,164.8,8.5,708.0,543.1,42.3
2017,North America,40.7,65.2,112.9,4.0,442.0,341.4,49.5
2017,Europe,50.7,69.0,134.0,5.5,540.5,402.6,46.9
2017,Asia Pacific,58.2,73.6,149.6,7.0,639.0,463.8,44.0
2017,Latin America,65.3,81.7,161.9,8.5,737.5,525.0,41.9
2018,North America,47.1,66.7,115.0,4.0,464.0,328.4,49.3
2018,Europe,55.4,71.4,133.5,5.5,565.0,387.9,46.1
2018,Asia Pacific,63.3,79.2,146.8,7.0,666.0,447.4,43.5
2018,Latin America,73.3,90.4,159.5,8.5,767.0,506.9,42.1
2019,North America,51.0,68.3,116.0,7.2,486.0,310.9,48.4
2019,Europe,59.7,75.8,131.6,9.1,589.5,368.2,45.3
2019,Asia Pacific,70.5,87.0,143.9,10.9,693.0,425.5,43.5
2019,Latin America,84.0,99.2,158.1,12.8,796.5,482.8,42.9
2020,North America,54.5,71.6,115.5,10.4,508.0,293.4,47.6
2020,Europe,66.1,82.6,128.8,12.6,614.0,348.6,45.2
2020,Asia Pacific,80.4,95.5,141.5,14.8,720.0,403.7,44.1
2020,Latin America,95.4,106.6,158.2,17.0,826.0,458.8,43.6
2021,North America,60.1,77.4,113.6,13.6,530.0,276.0,47.4
2021,Europe,75.2,90.6,125.9,16.1,638.5,328.9,45.7
2021,Asia Pacific,91.0,102.8,140.1,18.7,747.0,381.8,44.7
2021,Latin America,105.0,111.5,159.8,21.2,855.5,434.8,44.0
2022,North America,68.4,84.7,110.8,16.8,552.0,258.5,47.8
2022,Europe,85.0,97.9,123.5,19.7,663.0,309.2,46.2
2022,Asia Pacific,99.8,107.9,140.2,22.6,774.0,360.0,44.9
2022,Latin America,111.8,114.6,162.3,25.5,885.0,410.7,43.9
2023,North America,77.4,91.9,107.9,20.0,574.0,241.0,48.3
2023,Europe,93.0,103.1,122.1,23.2,687.5,289.6,46.3
2023,Asia Pacific,105.8,110.8,141.8,26.5,801.0,338.1,44.7
2023,Latin America,117.6,117.6,165.3,29.8,914.5,386.6,43.8
2024,North America,84.6,97.2,105.5,23.2,596.0,223.5,48.2
2024,Europe,98.2,106.0,122.2,26.8,712.0,269.9,45.8
2024,Asia Pacific,110.8,113.1,144.3,30.4,828.0,316.2,44.5
2024,Latin America,124.8,122.2,167.9,34.0,944.0,362.6,44.0
2025,North America,89.0,100.0,104.1,26.4,618.0,206.0,47.4
2025,Europe,102.4,107.7,123.8,30.4,736.5,250.2,45.3
2025,Asia Pacific,117.2,116.7,147.3,34.3,855.0,294.4,44.6
2025,Latin America,134.8,129.2,169.6,38.2,973.5,338.6,44.5
